Bred;Pit;+79659696;Actor
Петр;Петров;123456789;Како-то человек
Иван;Иванов;963258741;Пузан
Вельгемент;Иванов;324684;Студент
Августин;Петрович;+75698222;Поэт
Эсмиральда;Зимбавец;123456789;Актриса
Acvbnm;Dfghhkl;123456789;Worker
Эсмиральда;Зимбавец;123456789;Актриса
Acvbnm;Dfghhkl;123456789;Worker
Питопн;Аостаоао;123456789;Человек
Мапрноноа;Паоваовао;1365982;Человек

Аплповрпа;Ааоаврварва;351313;Человек
Семен;Слепаков;324684;Певец
Bred;Pit;+79659696;Actor
Сергей;Акопян;123456789;https://t.me/unf1ndabl3
